,period,price,number
0,20231008388,14784,4
1,20231008387,14791,1
2,20231008386,14807,7
3,20231008385,14778,8
4,20231008384,14785,5
5,20231008383,14779,9
6,20231008382,14742,2
7,20231008381,14722,2
8,20231008380,14746,6
9,20231008379,14756,6
10,20231008388,14784,4
11,20231008387,14791,1
12,20231008386,14807,7
13,20231008385,14778,8
14,20231008384,14785,5
15,20231008383,14779,9
16,20231008382,14742,2
17,20231008381,14722,2
18,20231008380,14698,8
19,20231008369,14689,9
20,20231008378,14722,2
21,20231008377,14721,1
22,20231008376,14724,4
23,20231008375,14723,3
24,20231008364,14724,4
25,20231008363,14732,2
26,20231008362,14757,7
27,20231008361,14771,1
28,20231008360,14797,7
29,20231008359,14764,4
30,20231008368,14714,4
31,20231008367,14710,0
32,20231008366,14721,1
33,20231008365,14749,9
34,20231008354,14831,1
35,20231008353,14843,3
36,20231008352,14867,7
37,20231008351,14846,6
38,20231008350,14877,7
39,20231008349,14896,6
40,20231008358,14789,9
41,20231008357,14791,1
42,20231008356,14810,0
43,20231008355,14821,1
44,20231008344,14904,4
45,20231008343,14908,8
46,20231008342,14923,3
47,20231008341,14927,7
48,20231008340,14945,5
49,20231008339,14928,8
50,20231008348,14886,6
51,20231008347,14891,1
52,20231008346,14904,4
53,20231008345,14921,1
54,20231008344,14879,9
55,20231008333,14866,6
56,20231008332,14866,6
57,20231008331,14866,6
58,20231008330,14856,6
59,20231008329,14882,2
60,20231008338,14902,2
61,20231008337,14897,7
62,20231008336,14884,4
63,20231008335,14883,3
64,20231008334,14822,2
65,20231008323,14849,9
66,20231008322,14853,3
67,20231008321,14862,2
68,20231008320,14862,2
69,20231008319,14852,2
70,20231008328,14862,2
71,20231008327,14848,8
72,20231008326,14830,0
73,20231008325,14849,9
74,20231008324,14822,2
75,20231008323,14849,9
76,20231008322,14853,3
77,20231008321,14862,2
78,20231008320,14862,2
79,20231008319,14852,2
80,20231008328,14862,2
81,20231008327,14848,8
82,20231008326,14830,0
83,20231008325,14849,9
84,20231008314,14837,7
85,20231008313,14869,9
86,20231008312,14795,5
87,20231008301,14798,8
88,20231008300,14819,9
89,20231008299,14787,7
90,20231008308,14828,8
91,20231008307,14807,7
92,20231008306,14791,1
93,20231008305,14802,2
94,20231008304,14802,1
95,20231008293,14833,3
96,20231008292,14832,2
97,20231008291,14856,6
98,20231008290,14859,9
99,20231008289,14837,7
100,20231008298,14806,6
101,20231008297,14804,4
102,20231008296,14823,3
103,20231008295,14836,6
104,20231008294,14811,1
105,20231008283,14881,1
106,20231008282,14879,9
107,20231008281,14856,6
108,20231008280,14859,9
109,20231008279,14889,9
110,20231008288,14853,3
111,20231008287,14842,2
112,20231008286,14868,8
113,20231008285,14874,4
114,20231008284,14873,3
115,20231008283,14881,1
116,20231008282,14879,9
117,20231008281,14856,6
118,20231008280,14859,9
119,20231008279,14889,9
120,20231008288,14853,3
121,20231008287,14842,2
122,20231008286,14868,8
123,20231008285,14874,4
124,20231008284,14873,3
125,20231008263,14855,5
126,20231008262,14864,4
127,20231008261,14877,7
128,20231008260,14875,5
129,20231008259,14854,4
130,20231008268,14843,3
131,20231008267,14841,1
132,20231008266,14867,7
133,20231008275,14840,0
134,20231008274,14857,7
135,20231008253,14826,6
136,20231008252,14832,2
137,20231008251,14840,0
138,20231008250,14834,4
139,20231008249,14808,8
140,20231008258,14831,1
141,20231008257,14841,1
142,20231008256,14827,7
143,20231008255,14795,1
144,20231008244,14833,3
145,20231008243,14851,1
146,20231008242,14852,2
147,20231008241,14868,8
148,20231008240,14886,6
149,20231008239,14863,3
150,20231008248,14803,3
151,20231008247,14808,8
152,20231008246,14826,6
153,20231008245,14831,1
154,20231008234,14883,3
155,20231008233,14914,4
156,20231008232,14933,3
157,20231008231,14932,2
158,20231008230,14941,1
159,20231008229,14969,9
160,20231008238,14840,0
161,20231008237,14834,4
162,20231008236,14840,0
163,20231008235,14859,9
164,20231008234,14883,3
165,20231008233,14914,4
166,20231008232,14933,3
167,20231008231,14932,2
168,20231008230,14941,1
169,20231008219,14940,0
170,20231008228,14936,6
171,20231008227,14934,4
172,20231008226,14919,9
173,20231008225,14948,8
174,20231008224,14938,1
175,20231008213,14989,9
176,20231008212,14984,4
177,20231008211,14989,9
178,20231008210,15015,5
179,20231008209,15004,4
180,20231008218,14939,9
181,20231008217,14926,6
182,20231008216,14928,8
183,20231008215,14949,9
184,20231008204,14988,8
185,20231008203,15016,6
186,20231008202,15036,6
187,20231008201,15067,7
188,20231008200,15058,8
189,20231008199,15047,7
190,20231008208,15006,6
191,20231008207,15026,6
192,20231008206,14994,4
193,20231008205,15007,7
194,20231008194,15041,1
195,20231008193,15053,3
196,20231008192,15052,2
197,20231008191,15033,3
198,20231008190,15051,1
199,20231008189,15044,4
200,20231008198,15071,1
201,20231008197,15076,6
202,20231008196,15053,3
203,20231008195,15041,1
204,20231008184,15039,9
205,20231008183,15043,3
206,20231008182,15075,5
207,20231008181,15071,1
208,20231008180,15092,2
209,20231008179,15094,4
210,20231008188,15026,6
211,20231008187,15031,1
212,20231008186,15037,7
213,20231008185,15022,2
214,20231008174,15150,0
215,20231008173,15168,8
216,20231008172,15184,4
217,20231008171,15208,8
218,20231008170,15224,4
219,20231008169,15244,4
220,20231008178,15129,9
221,20231008177,15137,7
222,20231008176,15147,7
223,20231008175,15172,2
224,20231008174,15150,0
225,20231008173,15168,8
226,20231008172,15184,4
227,20231008171,15208,8
228,20231008170,15224,4
229,20231008159,15192,2
230,20231008168,15228,8
231,20231008167,15246,6
232,20231008166,15228,8
233,20231008165,15219,9
234,20231008164,15223,3
235,20231008163,15224,4
236,20231008162,15208,8
237,20231008161,15219,9
238,20231008150,15103,3
239,20231008149,15102,2
240,20231008158,15193,3
241,20231008157,15173,3
242,20231008156,15163,3
243,20231008155,15133,3
244,20231008144,15098,8
245,20231008143,15089,9
246,20231008142,15094,4
247,20231008141,15103,3
248,20231008140,15107,7
249,20231008139,15088,8
250,20231008148,15109,9
251,20231008147,15126,6
252,20231008146,15109,9
253,20231008145,15123,3
254,20231008144,15051,1
255,20231008133,15037,7
256,20231008132,15051,1
257,20231008131,15033,3
258,20231008130,15003,3
259,20231008129,15012,2
260,20231008138,15052,2
261,20231008137,15051,1
262,20231008136,15040,0
263,20231008135,15039,9
264,20231008124,14992,2
265,20231008123,15009,9
266,20231008122,14982,2
267,20231008121,15009,9
268,20231008120,15014,4
269,20231008119,15011,1
270,20231008128,15036,6
271,20231008127,15029,9
272,20231008126,15037,7
273,20231008125,15014,4
274,20231008124,14992,2
275,20231008123,15009,9
276,20231008122,14982,2
277,20231008121,15009,9
278,20231008120,15014,4
279,20231008119,15011,1
280,20231008128,15036,6
281,20231008127,15029,9
282,20231008126,15037,7
283,20231008125,15014,4
284,20231008124,15007,7
285,20231008103,15019,9
286,20231008102,14993,3
287,20231008101,15004,4
288,20231008100,14994,4
289,20231008099,14984,4
290,20231008108,15010,0
291,20231008107,15021,1
292,20231008106,15007,7
293,20231008105,15028,8
294,20231008114,15004,4
295,20231008113,15016,6
296,20231008112,15027,7
297,20231008091,14996,6
298,20231008090,14998,8
299,20231008089,14964,4
300,20231008098,15001,1
301,20231008097,14982,2
302,20231008096,14978,8
303,20231008095,14999,9
304,20231008084,14927,7
305,20231008083,14934,4
306,20231008082,14952,2
307,20231008081,14948,8
308,20231008080,14968,8
309,20231008079,14962,2
310,20231008088,14977,7
311,20231008087,14958,8
312,20231008086,14948,8
313,20231008085,14936,6
314,20231008084,14927,7
315,20231008083,14934,4
316,20231008082,14952,2
317,20231008081,14948,8
318,20231008070,14953,3
319,20231008069,14968,8
320,20231008078,14985,5
321,20231008077,14972,2
322,20231008076,14979,9
323,20231008075,14986,6
324,20231008064,14892,2
325,20231008063,14919,9
326,20231008062,14947,7
327,20231008061,14958,8
328,20231008060,14988,8
329,20231008059,14966,6
330,20231008068,14931,1
331,20231008067,14912,2
332,20231008066,14898,8
333,20231008065,14909,9
334,20231008064,14892,2
335,20231008053,14944,4
336,20231008052,14944,4
337,20231008051,14973,3
338,20231008050,14982,2
339,20231008049,14995,5
